RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Macro-averaged Precision,500,45,2,0.4,1.0,,0.2558,0.2326,0.6341,0.7667,0.7528,0.7597,0.7270,0.6189,0.6325,

RDTLabel,Best Macro-averaged Recall,500,20,2,,,,0.1628,0.2536,0.6027,0.7387,0.7438,0.7412,0.6385,0.6178,0.6145,
RDTPercentage,Best Macro-averaged Recall,500,10,2,,,,0.1705,0.2447,0.6069,0.7535,0.7415,0.7474,0.6689,0.6099,0.6165,
RDTLabelPowerset,Best Macro-averaged Recall,500,50,2,,,,0.1860,0.2901,0.5640,0.7039,0.7007,0.7023,0.6128,0.6054,0.6068,
RDTChainLabel,Best Macro-averaged Recall,500,30,2,0.2,,,0.2171,0.2359,0.6342,0.7568,0.7619,0.7593,0.6827,0.6287,0.6288,
RDTChainPercentage,Best Macro-averaged Recall,500,45,2,0.45,,,0.2481,0.2359,0.6330,0.7591,0.7574,0.7582,0.7249,0.6264,0.6363,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Macro-averaged Recall,500,25,2,0.4,0.0,,0.1860,0.2536,0.6111,0.7488,0.7234,0.7359,0.6040,0.5572,0.5424,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Macro-averaged Recall,500,20,2,0.4,0.25,,0.2093,0.2392,0.6318,0.7622,0.7415,0.7517,0.6224,0.5745,0.5597,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Macro-averaged Recall,500,25,2,0.4,0.5,,0.2248,0.2403,0.6305,0.7593,0.7438,0.7514,0.6532,0.5822,0.5712,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Macro-averaged Recall,500,20,2,0.4,0.75,,0.2558,0.2326,0.6429,0.7667,0.7528,0.7597,0.6569,0.5956,0.5889,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Macro-averaged Recall,500,40,2,0.4,1.0,,0.2791,0.2281,0.6482,0.7677,0.7642,0.7659,0.7629,0.6267,0.6344,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Macro-averaged Recall,500,30,2,0.4,0.0,,0.1550,0.2458,0.6095,0.7552,0.7347,0.7448,0.6767,0.5680,0.5488,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Macro-averaged Recall,500,15,2,0.4,0.25,,0.1628,0.2425,0.6184,0.7558,0.7438,0.7497,0.7076,0.5836,0.5739,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Macro-averaged Recall,500,20,2,0.4,0.5,,0.2093,0.2370,0.6277,0.7585,0.7551,0.7568,0.7134,0.6027,0.5992,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Macro-averaged Recall,500,20,2,0.4,0.75,,0.2403,0.2292,0.6460,0.7671,0.7619,0.7645,0.6908,0.6126,0.6121,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Macro-averaged Recall,500,45,2,0.4,1.0,,0.2558,0.2326,0.6341,0.7667,0.7528,0.7597,0.7270,0.6189,0.6325,

